# Spk   W       freq 
# Jy    ms       GHz
# GMRT
0.19    1.3      0.65
0.32    2.0      0.65
0.27    1.3      0.65
5.98    5.5      0.65
0.38    0.6      0.65
0.57    2.7      0.65
0.83    8.0      0.65
0.21    0.5      0.65
0.17    0.5      0.65
0.21    0.4      0.65
23.65   2.0      0.65
0.57    6.7      0.65
0.58    1.4      0.65
0.80    8.2      0.65
0.72    4.1      0.65
# EVN
0.7     1.9      1.7
0.7     0.2      1.7
0.5     1.7      1.7
2.3     1.6      1.7
 
 

 
 
 
 

 
 
 
 

