#--------------------------------------------------------
#     W50                       R_LUM       R_LUM14
#      (ms)                      (mJy kpc^2) (mJy kpc^2)
#--------------------------------------------------------
157   5.6         0  jk18       *           8.18
158   62.9        0  jk18       *           5.12
159   138.5       0  jk18       21.19       1.63
160   15.5        0  jk18       *           26.93

161   19.5        0  jk18       187.50      25.00
162   5.8         0  lylg95     18.07       2.48
163   740         0  al81       2.01        0.03
164   6.1         0  kbm+03     *           14.88
165   4.7         0  jk18       *           8.49

166   4.9         0  mlc+01     *           0.09
167   1.4         0  jk18       392.00      82.32
168   14.21       1  bsb+19     *           1.68
169   24.8        0  jk18       3.21        0.18
170   4.4         0  jk18       443.25      78.75

171   6.0         0  jk18       *           8.41
172   57          0  mlc+01     *           2.86
173   21.8        0  jk18       6.09        0.54
174   6.3         0  jk18       59.70       10.59
175   4.5         0  jk18       *           1.73

176   18.6        0  jk18       4.58        1.43
177   5.0         0  jk18       *           0.15
178   22.8        0  lylg95     1.95        0.15
179   4.2         0  jk18       *           8.90
180   11          0  kbm+03     *           43.42

181   16.8        0  jk18       1.51        0.45
182   9           1  mbc+20     0.98        *
183   9.3         0  jk18       96.31       7.87
184   0.8         0  bjd+06     *           2.38
185   3.1         0  jk18       *           4.69

186   16.7        0  jk18       0.58        0.22
187   21          0  hfs+04     3.65        0.27
188   16.6        0  jk18       12.08       2.20
189   166.1       0  jk18       50.09       4.24
190   7.4         0  jk18       21.23       1.86

191   5.3         0  jk18       *           0.04
192   12.1        0  jk18       4.07        1.98
193   8.6         0  jk18       10.37       2.59
194   0.9         0  jk18       28.00       20.00
195   13.3        0  jk18       3.68        1.07

196   35.6        0  jk18       *           0.01
197   23.7        0  jk18       *           0.03
198   38.0        0  lylg95     5.03        0.50
199   5.9         0  jk18       62.92       12.10
200   6.9         0  mlc+01     *           3.79

201   0.79        0  mlb+12     *           0.02
202   13.1        0  jk18       3.16        0.29
203   40.5        0  jk18       0.25        0.07
204   13.5        0  bfrs18     1.19        0.07
205   13.4        0  jk18       *           0.05

206   59          0  lfl+06     *           0.02
207   10.0        0  jk18       *           0.08
208   22.5        0  jk18       2.19        0.39
209   2.6         0  jk18       *           0.09
210   15.4        0  jk18       1.74        0.08

211   9.0         0  jk18       4.95        0.99
212   4.0         0  jk18       2.14        0.16
213   53.2        0  jk18       15.48       2.87
214   11.5        0  bfrs18     69.51       4.93
215   6.9         0  lylg95     12.24       0.28

216   4.6         0  kbm+03     *           0.05
217   40.8        0  lylg95     3.18        *
218   40          0  bfrs18     625.00      81.25
219   3.7         0  jk18       *           0.84
220   33.6        0  jk18       2.35        1.11

221   8.9         0  jk18       27.25       6.81
222   9.7         0  jk18       *           0.10
223   7.8         0  hfs+04     4.66        0.15
224   3.6         0  mlc+01     *           0.04
225   94.2        0  jk18       2.09        0.52

226   4.5         0  kbm+03     *           0.00
227   7.2         0  jk18       7.20        0.90
228   14.8        0  jk18       *           0.26
229   39          0  lfl+06     *           0.23
230   25          0  mlc+01     *           1.28

231   61.3        0  ncb+15     *           1.71
232   6.3         0  jk18       0.82        0.19
233   21          2  dsb+98     22.68       *
234   41.6        0  lylg95     3.96        *
235   0.72        0  stc99      14.70       1.57

236   31          0  kbm+03     *           0.63
237   7.3         0  jk18       152.16      18.26
238   4.3         0  jk18       *           25.70
239   44.3        0  jk18       *           22.39
240   6.8         0  jk18       0.05        0.02

241   2.7         0  jk18       *           2.41
242   2.9         0  jk18       *           9.00
243   2.9         0  jk18       185.12      22.21
244   0.06        0  nbb+14     *           0.07
245   21.1        0  jk18       3187.50     437.50

246   56.2        0  jk18       *           452.56
247   16.9        0  jk18       *           0.18
248   14          0  lfl+06     *           2.66
249   52          0  hfs+04     *           2.18
250   0.972       5  mhb+13     38.82       2.54

251   36          0  kbm+03     *           3.60
252   0.521      10  mhb+13     6.85        3.42
253   0.1         0  jk18       *           0.49
254   10          0  kbm+03     *           1.37
255   21          0  hfs+04     *           0.83

256   20.0        0  jk18       126.42      9.93
257   251.9       0  jk18       109.74      21.41
258   8.2         0  kbm+03     *           1.13
259   9.9         0  jk18       48.15       4.28
260   8.3         0  jk18       *           1.26

261   2.1         0  bjd+06     *           7.07
262   14.2        0  jk18       *           1.93
263   48.9        0  jk18       179.65      14.76
264   25          0  hfs+04     108.90      4.82
265   4.2         0  jk18       *           12.97

266   0.840      12  mhb+13     1.73        0.32
267   23          0  bjd+06     *           10.05
268   7.9         0  jk18       98.56       7.67
269   23.2        0  jk18       36.77       5.06
270   2.2         0  jk18       12.46       9.66

271   4.8         0  jk18       *           76.53
272   30.0        0  jk18       *           6.32
273   2.3         0  jk18       *           1.45
274   10          0  hfs+04     *           0.44
275   4.8         0  kbm+03     *           2.07

276   6.7         0  jk18       *           1.08
277   22          0  hfs+04     *           1.37
278   23.2        0  jk18       *           2.59
279   2.9         0  jk18       *           13.94
280   7.3         0  kbm+03     *           0.43

281   39.7        0  jk18       *           1.24
282   16          0  mlc+01     *           1.03
283   17.4        0  jk18       259.20      195.84
284   5.0         0  nbb+14     *           0.97
285   88.7        0  jk18       0.69        0.04

286   21.0        0  jk18       13.46       1.24
287   15.6        0  jk18       *           4.02
288   17.4        0  jk18       51.41       5.41
289   0.54        0  ncb+15     *           1.28
290   0.14        0  kjr+11     *           0.51

291   5.5         0  kbm+03     *           0.96
292   4.9         0  hfs+04     8.80        0.42
293   13.107      5  bsb+19     *           0.00
294   2.8         0  jk18       *           6.68
295   27          0  hfs+04     *           0.88

296   9.3         0  lfl+06     *           0.00
297   38.3        0  jk18       25.67       1.10
298   26          0  kbm+03     *           3.28
299   20.2        0  jk18       *           19.76
300   11.3        0  jk18       *           46.57

301   13.1        0  jk18       122.00      10.92
302   24.8        0  jk18       56.03       2.59
303   27.4        0  jk18       *           141.09
304   16.6        0  lylg95     10.22       2.56
305   4.0         0  jk18       *           2.29

306   9.2         0  jk18       2.04        0.47
307   3.9         0  jk18       *           25.29
308   61          0  kbm+03     *           1.06
309   21.5        0  jk18       *           76.91
310   35.5        0  jk18       4.64        0.46

311   18.9        0  jk18       129.62      8.10
312   7.4         0  jk18       27.62       3.45
313   6.9         0  jk18       *           13.38
314   5.3         0  jk18       52.61       2.44
315   16.8        0  jk18       22.45       1.68

316   15          0  kbm+03     *           2.16
317   13          0  kbm+03     *           1.39
318   0.31        1  nbb+14     *           2.62
319   0.21        0  lfl+06     *           0.05
320   3.5         0  jk18       *           8.24

321   7.9         0  jk18       12.64       0.42
322   93          0  kbm+03     *           14.79
323   4.0         0  kbm+03     *           1.04
324   16          0  mlc+01     *           0.68
325   17          3  dsb+98     31.11       2.14

326   17.6        5  bsb+19     *           3.54
327   4.9         0  kbm+03     *           0.76
328   257.7       0  jk18       *           388.31
329   5.9         0  jk18       35.52       2.76
330   13.6        0  jk18       53.28       13.90

331   19.6        0  ccb+20     *           0.54
332   86.8        0  jk18       94.86       10.16
333   7.8         0  jk18       *           29.52
334   19.0        0  jk18       6.13        0.49
335   10.9        0  jk18       27.47       5.49

336   4.4         0  kbm+03     *           240.00
337   30          0  mlc+01     *           3.15
338   7.9         0  jk18       40.22       1.72
339   10.7        0  jk18       *           0.99
340   33          0  mlc+01     *           0.88

341   10.0        0  mlc+01     *           1.40
342   10.4        0  jk18       45.39       8.54
343   0.79        0  mlb+12     *           2.56
344   51          0  lfl+06     *           0.51
345   37          0  kbm+03     *           0.36

346   5.65        0  ncb+15     *           0.29
347   16          0  hfs+04     *           0.56
348   9.6         0  kbm+03     *           0.32
349   5.9         0  kbm+03     *           0.13
350   2.6         0  jk18       *           2.19

351   15          3  dsb+98     38.03       *
352   11.3        0  jk18       2320.00     224.00
353   210         0  kbm+03     *           1.95
354   12.3        0  jk18       15.49       1.81
355   13          0  kbm+03     *           11.83

356   8.8         0  jk18       81.90       10.68
357   7.8         0  jk18       *           1.82
358   4.7         0  jk18       129.41      12.94
359   66.0        0  ccb+20     *           13.77
360   39          0  hfs+04     *           0.14

361   15          0  kbm+03     *           29.15
362   9.4         0  kbm+03     *           0.50
363   34.8        0  jk18       *           5.36
364   10.6        0  jk18       *           77.16
365   0.22        0  lfl+06     *           0.06

366   58          0  mlc+01     *           54.45
367   28          0  kbm+03     *           0.22
368   63.3        0  ccb+20     *           8.58
369   10          0  mlc+01     *           22.43
370   5.5         0  jk18       768.00      142.40

371   17.8        0  jk18       18.61       1.12
372   3.9         0  kbm+03     *           1.25
373   4.5         0  jk18       1066.38     174.50
374   48          1  mbc+20     1.74        *
375   1.3         0  mlb+12     *           19.73

376   41.9        0  jk18       *           10.04
377   174.2       0  jk18       *           102.81
378   11          0  mlc+01     *           10.00
379   57          0  kbm+03     *           25.10
380   12          0  kbm+03     *           7.54

381   44          0  tml93      13.64       3.03
382   10          0  kbm+03     *           16.96
383   9.8         0  jk18       *           4.55
384   53.4        0  jk18       *           3.69
385   44.5        0  jk18       77.62       16.37

386   16.6        0  jk18       16.12       2.38
